0.006399	0.00639838	1
1110.19	281.605	2
nan	nan	3
-611.351	-1401.28	4
nan	nan	5
15203.4	-2739.3	6
nan	nan	7
4441.1	-8715.28	8
nan	nan	9
539.767	1721.15	10
nan	nan	11
-2568.01	-3942.84	12
nan	nan	13
224.485	-109.362	14
nan	nan	15
-1451.35	-5083.72	16
nan	nan	17
5025.08	-2174.7	18
nan	nan	19
-2554	-4465.75	20
nan	nan	21
12869	-24547	22
nan	nan	23
-2654.74	-24620.3	24
nan	nan	25
2150.85	-7900.2	26
nan	nan	27
-3384.19	-2889.24	28
nan	nan	29
1525.46	-6503.27	30
nan	nan	31
-39.8601	-9808.62	32
nan	nan	33
2750.33	6376	34
nan	nan	35
1265.79	-14188.6	36
nan	nan	37
6165.68	12013.9	38
nan	nan	39
47.4169	-2863.13	40
nan	nan	41
-2130.08	-693.061	42
nan	nan	43
2531.82	-2943.69	44
nan	nan	45
19564.6	-15507	46
nan	nan	47
-4376.43	-7352.97	48
nan	nan	49
1295.28	-2565.12	50
nan	nan	51
-1565.15	-417.386	52
nan	nan	53
-636.759	-4534.02	54
nan	nan	55
8646.95	-21616.9	56
nan	nan	57
9356.75	17977.9	58
nan	nan	59
2356.61	-1819.18	60
nan	nan	61
-1344.19	-2015.87	62
nan	nan	63
3057.71	278.835	64
nan	nan	65
418.318	-762.014	66
nan	nan	67
528.911	3791.43	68
nan	nan	69
-1983.83	-6530.49	70
nan	nan	71
-2829.97	2207.14	72
nan	nan	73
2485.53	-1376.02	74
nan	nan	75
666.746	-1974.51	76
nan	nan	77
2145.19	-4582.89	78
nan	nan	79
1461.59	-3870.99	80
nan	nan	81
3047.08	-692.336	82
nan	nan	83
-21.1985	-1910.12	84
nan	nan	85
2897.75	-5943.37	86
nan	nan	87
-2168.17	-4617.49	88
nan	nan	89
19995.8	-5301.65	90
nan	nan	91
-9736.09	-11523.1	92
nan	nan	93
1880.67	-3662.07	94
nan	nan	95
4578.39	-4736.86	96
nan	nan	97
1933.88	-7560.59	98
nan	nan	99
-427.545	-5645.07	100
nan	nan	101
240.715	-1533.84	102
nan	nan	103
168.78	933.037	104
nan	nan	105
61.782	-3017.34	106
nan	nan	107
707.982	236.57	108
nan	nan	109
-2662.23	-2760.56	110
nan	nan	111
6974.79	-12429.7	112
nan	nan	113
7580.47	-4924.79	114
nan	nan	115
12067	-1053.26	116
nan	nan	117
-8060.05	-1342.78	118
nan	nan	119
-839.607	-2736.13	120
nan	nan	121
-3762.83	-4237.18	122
nan	nan	123
2515.73	-2387.55	124
nan	nan	125
-2473.95	-5631.04	126
nan	nan	127
-1372.45	-4104.08	128
nan	nan	129
2868.97	-1039.58	130
nan	nan	131
-1371.86	-2004.06	132
nan	nan	133
-1268.89	-1158.1	134
nan	nan	135
18241	-22994	136
nan	nan	137
-858.042	-2895.81	138
nan	nan	139
2023.91	-2597.01	140
nan	nan	141
1064.78	-1811.64	142
nan	nan	143
1453.56	-1638.41	144
nan	nan	145
-3126.14	-3929.49	146
nan	nan	147
514.145	-1964.89	148
nan	nan	149
-3784.42	-2242.71	150
nan	nan	151
-761.879	1587.79	152
nan	nan	153
1171.72	1029.47	154
nan	nan	155
-333.577	-5881.17	156
nan	nan	157
359.277	-6648.81	158
nan	nan	159
6703.3	1308.69	160
nan	nan	161
906.945	218.5	162
nan	nan	163
1871.16	-946.964	164
nan	nan	165
4914.69	2823.5	166
nan	nan	167
2751.2	-676.31	168
nan	nan	169
6.43548	525.809	170
nan	nan	171
-2884.27	-1729.04	172
nan	nan	173
-582.194	-4504.03	174
nan	nan	175
-1081.63	-3860.29	176
nan	nan	177
-986.963	-1555.49	178
nan	nan	179
-741.55	41.2692	180
nan	nan	181
4078.89	3196.09	182
nan	nan	183
50.2954	-1467.04	184
nan	nan	185
-753.639	-3678.64	186
nan	nan	187
-15078.9	5678.12	188
nan	nan	189
641.752	31.6264	190
nan	nan	191
-3934.01	-2595.45	192
nan	nan	193
-1408.57	-3916.73	194
nan	nan	195
-552.511	4859	196
nan	nan	197
6385.17	-3230.13	198
nan	nan	199
155.07	8610.41	200
nan	nan	201
3784.87	-6831.77	202
nan	nan	203
-4980.76	-5012.81	204
nan	nan	205
93.363	-1090.61	206
nan	nan	207
-1650.63	-1244.17	208
nan	nan	209
-1244.12	-1416.69	210
nan	nan	211
638.331	-1828.18	212
nan	nan	213
-1373.73	-7492.09	214
nan	nan	215
34311.9	19623.2	216
nan	nan	217
4610.49	-3389.97	218
nan	nan	219
-1341.02	-15031.1	220
nan	nan	221
2590.84	-2130.75	222
nan	nan	223
-916.851	-9042.98	224
nan	nan	225
-2304.51	-1496.55	226
nan	nan	227
-5022.5	-12831.2	228
nan	nan	229
4148.16	2690.71	230
nan	nan	231
3137.46	1139.48	232
nan	nan	233
4225.8	-5450.08	234
nan	nan	235
-2279.81	-1844.31	236
nan	nan	237
2039.07	-1575.34	238
nan	nan	239
2991.48	-2080.92	240
nan	nan	241
3666.53	1803.04	242
nan	nan	243
3915.19	-5040.62	244
nan	nan	245
-22841.3	-5104.65	246
nan	nan	247
791.523	-5186	248
nan	nan	249
2370.08	-2098.43	250
nan	nan	251
-3687.31	-4873.25	252
nan	nan	253
-3253.72	-7.90262	254
nan	nan	255
1905.22	-3399.48	256
nan	nan	257
nan	nan	258
nan	nan	259
3.31591e+07	-9.59359e+07	260
nan	nan	261
nan	nan	262
nan	nan	263
nan	nan	264
nan	nan	265
nan	nan	266
nan	nan	267
-9.49631e+06	-5.39701e+07	268
nan	nan	269
nan	nan	270
nan	nan	271
nan	nan	272
nan	nan	273
1.166e+07	221495	274
nan	nan	275
nan	nan	276
nan	nan	277
nan	nan	278
nan	nan	279
3.03431e+07	-4.03186e+07	280
nan	nan	281
nan	nan	282
nan	nan	283
nan	nan	284
nan	nan	285
-2.80564e+08	2.84487e+07	286
nan	nan	287
nan	nan	288
nan	nan	289
nan	nan	290
nan	nan	291
nan	nan	292
nan	nan	293
nan	nan	294
nan	nan	295
nan	nan	296
nan	nan	297
8.71878e+06	-8.29575e+06	298
nan	nan	299
nan	nan	300
nan	nan	301
-712354	924591	302
nan	nan	303
nan	nan	304
nan	nan	305
-1.31412e+07	-2.2982e+07	306
nan	nan	307
-2.79556e+07	-6.51099e+07	308
nan	nan	309
955177	3.07739e+06	310
nan	nan	311
nan	nan	312
nan	nan	313
nan	nan	314
nan	nan	315
nan	nan	316
nan	nan	317
-1.70673e+07	-4.14202e+07	318
nan	nan	319
1.70192e+07	-5.41866e+07	320
nan	nan	321
nan	nan	322
nan	nan	323
nan	nan	324
nan	nan	325
nan	nan	326
nan	nan	327
nan	nan	328
nan	nan	329
nan	nan	330
nan	nan	331
3.21551e+07	-1.67423e+07	332
nan	nan	333
nan	nan	334
nan	nan	335
nan	nan	336
nan	nan	337
8.31346e+07	1.62081e+08	338
nan	nan	339
2.74913e+07	-1.19189e+07	340
nan	nan	341
nan	nan	342
nan	nan	343
nan	nan	344
nan	nan	345
nan	nan	346
nan	nan	347
6.75741e+07	-4.66724e+07	348
nan	nan	349
nan	nan	350
nan	nan	351
nan	nan	352
nan	nan	353
nan	nan	354
nan	nan	355
nan	nan	356
nan	nan	357
8.67332e+06	-7.16016e+06	358
nan	nan	359
-1.28962e+08	-3.76113e+08	360
nan	nan	361
nan	nan	362
nan	nan	363
nan	nan	364
nan	nan	365
